State,Value
ALABAMA,4768266000
ALASKA,40817000
ARIZONA,1757790000
ARKANSAS,6026230000
CALIFORNIA,11800525000
COLORADO,5252840000
CONNECTICUT,160071000
DELAWARE,1140317000
FLORIDA,1652810000
GEORGIA,6301312000
HAWAII,146733000
IDAHO,4356606000
ILLINOIS,3166229000
INDIANA,3986276000
IOWA,15123882000
KANSAS,12322289000
KENTUCKY,3196834000
LOUISIANA,1112027000
MAINE,258123000
MARYLAND,1524681000
MASSACHUSETTS,111661000
MICHIGAN,3576684000
MINNESOTA,8203872000
MISSISSIPPI,3904079000
MISSOURI,5049623000
MONTANA,1935608000
NEBRASKA,12672422000
NEVADA,389681000
NEW HAMPSHIRE,79992000
NEW JERSEY,113421000
NEW MEXICO,1931608000
NEW YORK,3261226000
NORTH CAROLINA,9165694000
NORTH DAKOTA,1553488000
OHIO,3914972000
OKLAHOMA,5948761000
OREGON,1723466000
PENNSYLVANIA,4977556000
RHODE ISLAND,17089000
SOUTH CAROLINA,1912494000
SOUTH DAKOTA,4554966000
TENNESSEE,1616537000
TEXAS,18029734000
UTAH,1277653000
VERMONT,593872000
VIRGINIA,2599039000
WASHINGTON,2651078000
WEST VIRGINIA,601162000
WISCONSIN,7359987000
WYOMING,1153913000
