State,Value
ALABAMA,1212329000
ALASKA,29642000
ARIZONA,2094218000
ARKANSAS,3624930000
CALIFORNIA,33353834000
COLORADO,2238862000
CONNECTICUT,420043000
DELAWARE,325656000
FLORIDA,5704533000
GEORGIA,3271940000
HAWAII,417069000
IDAHO,3210834000
ILLINOIS,13843743000
INDIANA,7121060000
IOWA,13832573000
KANSAS,6460437000
KENTUCKY,2541086000
LOUISIANA,2060951000
MAINE,408839000
MARYLAND,948125000
MASSACHUSETTS,363524000
MICHIGAN,4644252000
MINNESOTA,10191518000
MISSISSIPPI,2291890000
MISSOURI,5476314000
MONTANA,1585015000
NEBRASKA,9311007000
NEVADA,276077000
NEW HAMPSHIRE,107802000
NEW JERSEY,984530000
NEW MEXICO,650735000
NEW YORK,2107986000
NORTH CAROLINA,3734980000
NORTH DAKOTA,6680614000
OHIO,5426253000
OKLAHOMA,1516751000
OREGON,3283355000
PENNSYLVANIA,2781329000
RHODE ISLAND,40909000
SOUTH CAROLINA,1096245000
SOUTH DAKOTA,5166557000
TENNESSEE,2182397000
TEXAS,6894307000
UTAH,560956000
VERMONT,187096000
VIRGINIA,1361462000
WASHINGTON,6983383000
WEST VIRGINIA,153117000
WISCONSIN,4067436000
WYOMING,318200000
